id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Compound Score
44419781,Studio Suite | Business Travel,348430184,Avalon,Annex,43.67127,-79.39461,Entire home/apt,155,2,34,1.86,8.5,308,7.5,0.67077
44429201,Beautiful & Cozy One Bedroom Condo In Yorkville!,354808129,Erin,Annex,43.67142,-79.39487,Entire home/apt,120,30,3,0.17,7,35,2,0.910666667
44429908,Stylish Roncesvalles Private Suite w/ Tech Extras,37415518,Anthony,Roncesvalles,43.64055,-79.43939,Entire home/apt,95,3,37,2.47,1,117,7.5,0.907545946
44430872,Newly Renovated 2nd floor Suite,358865808,Joe,Weston-Pellam Park,43.66801,-79.45752,Entire home/apt,115,3,4,1.08,1,79,4,0.87885
44434249,Zahid's Castle for four guests,358919585,Zahid,Cliffcrest,43.71878,-79.25161,Entire home/apt,60,2,19,0.94,1,0,6,0.856045
44434528,Quiet Midtown Home by the Park,83706136,Joanna,Bridle Path-Sunnybrook-York Mills,43.71938,-79.36485,Entire home/apt,319,5,5,0.32,1,74,4,0.92498
44434883,Luxurious condo in the best location,109180103,Ge,Waterfront Communities-The Island,43.64486,-79.39182,Private room,85,1,63.5,2.47,8.5,0,7.5,0.713016162
44443684,"Beautiful Palmerston Blvd, Unique 1 Bedroom",84721968,Hyla,Palmerston-Little Italy,43.65953,-79.41193,Entire home/apt,90,29,10,0.56,7,321,6,0.82367
44450935,"Penthouse with Balcony, Stunning View! (301)",255601789,Ali,Dovercourt-Wallace Emerson-Junction,43.66139,-79.44267,Entire home/apt,67,28,20,1.03,8.5,341,1,0.81145
44451010,Brand new stylish Apartment (202),255601789,Ali,Dovercourt-Wallace Emerson-Junction,43.66353,-79.4434,Entire home/apt,59,28,13,0.68,8.5,189,0,0.755607692
44458267,Spacious downtown condo in Little Italy,40520316,Jack,Palmerston-Little Italy,43.65706,-79.40938,Entire home/apt,206,2,13,0.83,1,67,7.5,0.846138462
1419,Beautiful home in amazing area!,1565,Alexandra,Little Portugal,43.6459,-79.42423,Entire home/apt,319,28,7,0.09,1,0,0,0.741885714
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,Waterfront Communities-The Island,43.6408,-79.37673,Private room,96,64,63.5,1.11,2,365,0,0.901399401
